name_common,age,mlb_ID,player_ID,year_ID,team_ID,stint_ID,lg_ID,G,GS,IPouts,IPouts_start,IPouts_relief,RA,xRA,xRA_sprp_adj,xRA_extras_adj,xRA_def_pitcher,PPF,PPF_custom,xRA_final,BIP,BIP_perc,RS_def_total,runs_above_avg,runs_above_avg_adj,runs_above_rep,RpO_replacement,GR_leverage_index_avg,WAR,salary,teamRpG,oppRpG,pyth_exponent,waa_win_perc,WAA,WAA_adj,oppRpG_rep,pyth_exponent_rep,waa_win_perc_rep,WAR_rep,ERA_plus,ER_lg
Thomas Szapucki,26,663378,szaputh01,2022,NYM,1,NL,1,1,4,4,0,9,0.687,0.031,0,-0.002,95,94,0.677,8,0.0021,-1,-8.323,-8.32,-8.201,0.194,1,-0.4,NULL,4.39519,12.71519,2.246,0.0843,-0.4157,-0.0011,4.51763,1.865,0.4872,0.0129,8.233333333,0.741
Thomas Hatch,27,641672,hatchto01,2022,TOR,1,AL,1,1,14,14,0,10,2.265,0.104,0,0.207,99,98,2.119,19,0.0046,45,-7.881,-7.857,-7.467,0.188,1,-0.37,NULL,4.25074,12.10774,2.218,0.0893,-0.4107,-0.0035,4.67046,1.866,0.4562,0.044,21.63,2.163
Jerad Eickhoff,31,595191,eickhje01,2022,PIT,1,NL,1,1,13,13,0,10,1.942,0.089,0,0,100,100,2.031,19,0.0044,0,-7.969,-7.959,-7.572,0.194,1,-0.37,NULL,4.39519,12.35419,2.233,0.0905,-0.4095,-0.0036,4.79312,1.882,0.4593,0.0411,21.22,2.122
Seth Johnson,25,686751,johnsse01,2024,PHI,1,NL,1,1,7,7,0,9,0.888,0.041,0,0.011,98,118,1.083,15,0.0036,3,-7.917,-7.925,-7.699,0.198,1,-0.39,NULL,4.47804,12.40304,2.238,0.0928,-0.4072,-0.0019,4.69875,1.881,0.4774,0.0224,13.56666667,1.221
Michael Plassmeyer,26,674681,plassmi01,2023,PHI,1,NL,1,1,11,11,0,10,1.938,0.09,0,-0.133,98,92,1.988,16,0.0039,-34,-8.012,-8.004,-7.652,0.208,1,-0.37,NULL,4.70669,12.71069,2.258,0.0959,-0.4041,-0.0026,5.07002,1.915,0.4645,0.0349,21.33333333,1.92
Wes Parsons,30,641149,parsowe01,2023,TOR,1,AL,1,1,12,12,0,9,2.495,0.114,0,0.404,99,98,2.161,19,0.0047,86,-6.839,-6.888,-6.455,0.203,1,-0.35,NULL,4.6077,11.4957,2.208,0.1173,-0.3827,-0.0025,4.98822,1.905,0.4623,0.0379,23.02222222,2.072
Hunter Gaddis,24,683769,gaddihu01,2022,CLE,1,AL,2,2,22,22,0,15,3.599,0.166,0,0.608,97,94,2.968,32,0.0078,78,-12.032,-11.994,-11.382,0.188,1,-0.67,NULL,4.25074,10.24774,2.143,0.1317,-0.7366,-0.0054,4.58052,1.86,0.4653,0.0697,21.59333333,3.239
Tommy Romero,24,676720,romerto01,2022,WSN,2,NL,1,1,11,11,0,8,1.994,0.091,0,-0.164,97,94,2.114,17,0.0039,-42,-5.886,-5.877,-5.55,0.194,1,-0.33,NULL,4.39519,10.27219,2.15,0.1388,-0.3612,-0.0031,4.7319,1.878,0.4654,0.0349,29.53333333,1.772
Matt Mervis,26,670223,mervima01,2024,CHC,1,NL,1,0,2,0,2,6,0.3,-0.02,0,0.101,96,112,0.2,9,0.0022,46,-5.8,-5.802,-5.738,0.198,0,-0.17,740000,4.47804,10.28004,2.154,0.1431,-0.3569,0.1767,4.5411,1.872,0.4935,0.0064,7.733333333,0.464
Jake Reed,30,596082,reedja02,2023,LAD,1,NL,1,0,2,0,2,6,0.37,-0.024,0,0.082,99,104,0.275,5,0.0012,68,-5.725,-5.724,-5.66,0.208,0.24,-0.21,NULL,4.70669,10.43069,2.169,0.1511,-0.3489,0.1307,4.77275,1.898,0.4934,0.0065,8.133333333,0.488
Daulton Jefferies,28,641726,jeffeda01,2024,SFG,1,NL,2,1,14,6,8,13,2.255,-0.041,0,0.012,93,104.774,2.307,25,0.0062,2,-10.693,-10.709,-10.257,0.198,0.92,-0.63,NULL,4.47804,9.83254,2.135,0.1572,-0.6856,0.0069,4.69875,1.881,0.4774,0.0448,24.05555556,2.165
Cade Cavalli,23,676917,cavalca01,2022,WSN,1,NL,1,1,13,13,0,7,1.843,0.084,0,-0.113,97,94,1.918,12,0.0027,-42,-5.082,-5.072,-4.685,0.194,1,-0.3,NULL,4.39519,9.46719,2.116,0.1647,-0.3353,-0.0036,4.79312,1.882,0.4593,0.0411,29.47142857,2.063
Brady Feigl,33,621399,feiglbr01,2024,PIT,1,NL,1,0,5,0,5,6,0.924,-0.062,0,-0.031,101,102,0.911,11,0.0026,-12,-5.089,-5.095,-4.933,0.198,0.01,-0.16,NULL,4.47804,9.57304,2.124,0.1661,-0.3339,0.1608,4.63569,1.877,0.4838,0.016,15.73333333,0.944
Allan Winans,28,642216,winanal01,2024,ATL,1,NL,2,2,23,23,0,14,4.164,0.191,0,0.269,100,100,4.086,33,0.0084,32,-9.914,-9.94,-9.198,0.198,1,-0.59,740000,4.47804,9.44804,2.118,0.1706,-0.6588,-0.0062,4.84064,1.889,0.4633,0.0727,28.42307692,3.695
Hurston Waldrep,22,694462,waldrhu01,2024,ATL,1,NL,2,2,21,21,0,13,3.239,0.149,0,0.195,100,97,3.097,24,0.0061,32,-9.903,-9.927,-9.249,0.198,1,-0.6,740000,4.47804,9.44154,2.118,0.1708,-0.6584,-0.0057,4.80911,1.887,0.4664,0.0665,26.06923077,3.389
Blair Henley,27,668874,henlebl01,2024,HOU,1,AL,1,1,1,1,0,5,0.17,0.008,0,0.017,98,96,0.155,5,0.0013,13,-4.845,-4.847,-4.815,0.193,1,-0.32,740000,4.38443,9.23143,2.105,0.1726,-0.3274,-0.0002,4.41444,1.858,0.4968,0.0033,6.32,0.316
Stephen Strasburg,33,544931,strasst01,2022,WSN,1,NL,1,1,14,14,0,7,1.898,0.087,0,-0.143,97,102,2.171,15,0.0034,-42,-4.829,-4.818,-4.401,0.194,1,-0.29,35000000,4.39519,9.21319,2.104,0.174,-0.326,-0.0039,4.82373,1.883,0.4563,0.0441,31.55714286,2.209
